,index,date,service,instance,message,level,anomaly_type,st_time,ed_time,duration,data_type
10,10,2021-07-04,mobservice,mobservice1,"2021-07-04 05:11:23,776 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 62711a488c746902 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 05:11:23.776000,2021-07-04 05:11:34.776000,11,train
11,11,2021-07-04,mobservice,mobservice2,"2021-07-04 05:40:03,252 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 759aad3f72fa1ef9 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 05:40:03.252000,2021-07-04 05:40:14.252000,11,train
12,12,2021-07-04,mobservice,mobservice1,"2021-07-04 05:58:09,537 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | fd36805ff36d3ba7 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 05:58:09.537000,2021-07-04 05:58:20.537000,11,train
13,13,2021-07-04,mobservice,mobservice1,"2021-07-04 06:06:40,093 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | c22f9bf461874af1 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 06:06:40.093000,2021-07-04 06:06:51.093000,11,train
14,14,2021-07-04,mobservice,mobservice1,"2021-07-04 06:19:58,153 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | aa38388699978cbd | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 06:19:58.153000,2021-07-04 06:20:09.153000,11,train
15,15,2021-07-04,webservice,webservice1,"2021-07-04 06:41:56,726 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 06:31:55.682525 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 06:31:55.682525,2021-07-04 06:41:55.682525,600,train
16,16,2021-07-04,dbservice,dbservice1,"2021-07-04 07:33:33,003 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 07:23:31.902981 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 07:23:31.902981,2021-07-04 07:33:31.902981,600,train
17,17,2021-07-04,webservice,webservice2,"2021-07-04 08:10:00,568 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | trigger the file moving program, start with 2021-07-04 08:00:00.471022, last for 600 seconds",WARNING,[file moving program],2021-07-04 08:00:00.471022,2021-07-04 08:10:00.471022,600,train
18,18,2021-07-04,mobservice,mobservice2,"2021-07-04 09:01:29,741 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | c2a55750efff7870 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 09:01:29.741000,2021-07-04 09:01:40.741000,11,train
19,19,2021-07-04,mobservice,mobservice1,"2021-07-04 09:20:15,909 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 6c4f44bf3b168d3d | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 09:20:15.909000,2021-07-04 09:20:26.909000,11,train
20,20,2021-07-04,logservice,logservice2,"2021-07-04 10:57:21,367 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 10:47:20.480887 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 10:47:20.480887,2021-07-04 10:57:20.480887,600,train
21,21,2021-07-04,webservice,webservice1,"2021-07-04 12:10:01,055 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-04 12:00:00.956911, last for 600 seconds",WARNING,[file moving program],2021-07-04 12:00:00.956911,2021-07-04 12:10:00.956911,600,train
22,22,2021-07-04,dbservice,dbservice1,"2021-07-04 15:11:08,214 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 15:01:06.877611 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 15:01:06.877611,2021-07-04 15:11:06.877611,600,train
23,23,2021-07-04,mobservice,mobservice1,"2021-07-04 15:15:53,625 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | c88bcb1c3e62b65 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 15:15:53.625000,2021-07-04 15:16:04.625000,11,train
24,24,2021-07-04,mobservice,mobservice2,"2021-07-04 15:19:23,038 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 31b8473c84c2d015 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 15:19:23.038000,2021-07-04 15:19:34.038000,11,train
25,25,2021-07-04,mobservice,mobservice1,"2021-07-04 15:36:13,913 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | bb9c6a172961b0a2 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 15:36:13.913000,2021-07-04 15:36:24.913000,11,train
26,26,2021-07-04,webservice,webservice1,"2021-07-04 16:20:30,303 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 16:10:28.626523 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 16:10:28.626523,2021-07-04 16:20:28.626523,600,train
27,27,2021-07-04,webservice,webservice2,"2021-07-04 17:00:06,941 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 16:50:04.943598 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 16:50:04.943598,2021-07-04 17:00:04.943598,600,train
28,28,2021-07-04,dbservice,dbservice1,"2021-07-04 17:11:45,061 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 17:01:44.446752 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 17:01:44.446752,2021-07-04 17:11:44.446752,600,train
29,29,2021-07-04,redisservice,redisservice1,"2021-07-04 17:41:07,142 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 17:31:06.226532 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 17:31:06.226532,2021-07-04 17:41:06.226532,600,train
30,30,2021-07-04,mobservice,mobservice2,"2021-07-04 17:47:56,109 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 21f2b609de777fed | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 17:47:56.109000,2021-07-04 17:48:07.109000,11,train
31,31,2021-07-04,logservice,logservice2,"2021-07-04 18:04:59,535 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 17:54:58.133846 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 17:54:58.133846,2021-07-04 18:04:58.133846,600,train
32,32,2021-07-04,mobservice,mobservice2,"2021-07-04 18:13:03,481 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 34f47cf9d93d98b7 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 18:13:03.481000,2021-07-04 18:13:14.481000,11,test
33,33,2021-07-04,webservice,webservice2,"2021-07-04 18:49:17,268 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 18:39:16.151591 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 18:39:16.151591,2021-07-04 18:49:16.151591,600,test
34,34,2021-07-04,logservice,logservice2,"2021-07-04 19:05:18,512 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 18:55:17.664885 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 18:55:17.664885,2021-07-04 19:05:17.664885,600,test
35,35,2021-07-04,mobservice,mobservice2,"2021-07-04 19:47:49,646 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 3e742023977db766 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 19:47:49.646000,2021-07-04 19:48:00.646000,11,test
36,36,2021-07-04,mobservice,mobservice2,"2021-07-04 20:11:10,392 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 81d7fde852a9084f | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 20:11:10.392000,2021-07-04 20:11:21.392000,11,test
37,37,2021-07-04,mobservice,mobservice1,"2021-07-04 20:25:55,861 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | dda059fcefdfd3b5 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 20:25:55.861000,2021-07-04 20:26:06.861000,11,test
38,38,2021-07-04,mobservice,mobservice2,"2021-07-04 21:13:40,297 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | da130be283898b51 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 21:13:40.297000,2021-07-04 21:13:51.297000,11,test
39,39,2021-07-04,mobservice,mobservice2,"2021-07-04 21:34:03,226 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | c0666003e184f3f8 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 21:34:03.226000,2021-07-04 21:34:14.226000,11,test
40,40,2021-07-04,logservice,logservice1,"2021-07-04 22:22:05,989 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 22:12:05.211594 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 22:12:05.211594,2021-07-04 22:22:05.211594,600,test
